Date,Close
2-Jan-01,27.85
3-Jan-01,28.16
4-Jan-01,28.55
5-Jan-01,27.27
8-Jan-01,28.33
9-Jan-01,27.74
10-Jan-01,28.18
11-Jan-01,28.13
12-Jan-01,27.09
15-Jan-01,27.32
16-Jan-01,26.68
17-Jan-01,26.94
18-Jan-01,25.13
19-Jan-01,23.11
5-Feb-01,26.72
6-Feb-01,26.02
7-Feb-01,23.86
8-Feb-01,23.69
9-Feb-01,23.56
12-Feb-01,24.48
13-Feb-01,23.52
14-Feb-01,23.4
15-Feb-01,23.17
16-Feb-01,22.99
19-Feb-01,22.56
20-Feb-01,21.94
21-Feb-01,23.22
22-Feb-01,25.22
23-Feb-01,23.61
26-Feb-01,24.3
27-Feb-01,24.81
28-Feb-01,24.54
1-Mar-01,24.71
2-Mar-01,26.98
5-Mar-01,26.86
6-Mar-01,26.16
7-Mar-01,25.76
8-Mar-01,24.72
9-Mar-01,24.52
12-Mar-01,26.52
13-Mar-01,26.75
14-Mar-01,27.09
15-Mar-01,28.43
16-Mar-01,27.81
19-Mar-01,28.74
20-Mar-01,28.85
21-Mar-01,29.08
22-Mar-01,31.12
23-Mar-01,31.76
26-Mar-01,29.97
27-Mar-01,30.07
28-Mar-01,30.22
29-Mar-01,30.46
30-Mar-01,29.43
2-Apr-01,29.75
3-Apr-01,29.25
4-Apr-01,29.58
5-Apr-01,29.58
6-Apr-01,30.47
9-Apr-01,30.98
10-Apr-01,29.02
11-Apr-01,28.43
12-Apr-01,27.97
13-Apr-01,27.97
16-Apr-01,27.97
17-Apr-01,29.45
18-Apr-01,29.18
19-Apr-01,30.69
20-Apr-01,29.52
23-Apr-01,30.39
24-Apr-01,30.5
25-Apr-01,29.51
26-Apr-01,27.88
27-Apr-01,26.17
30-Apr-01,26.17
8-May-01,27.16
9-May-01,27.14
10-May-01,27.22
11-May-01,26.65
14-May-01,27.61
15-May-01,28.18
16-May-01,27.66
17-May-01,26.64
18-May-01,26.23
21-May-01,26.47
22-May-01,25.73
23-May-01,25.03
24-May-01,24.67
25-May-01,23.98
28-May-01,24.66
29-May-01,24.81
30-May-01,25.3
31-May-01,25.64
1-Jun-01,24.64
4-Jun-01,24.46
5-Jun-01,23.35
6-Jun-01,22.56
7-Jun-01,21.7
8-Jun-01,21.42
11-Jun-01,21.9
12-Jun-01,22.24
13-Jun-01,22.54
14-Jun-01,23.54
15-Jun-01,23.44
18-Jun-01,24.45
19-Jun-01,24.12
20-Jun-01,24.83
21-Jun-01,23.91
22-Jun-01,22.73
25-Jun-01,22.73
26-Jun-01,23.75
27-Jun-01,23.82
28-Jun-01,24.03
29-Jun-01,22.01
2-Jul-01,22.01
3-Jul-01,21.5
4-Jul-01,20.99
5-Jul-01,21.14
6-Jul-01,21.14
9-Jul-01,22.79
10-Jul-01,22.51
11-Jul-01,22.86
12-Jul-01,22.5
13-Jul-01,22.53
16-Jul-01,22.63
17-Jul-01,23.27
18-Jul-01,23
19-Jul-01,23.32
20-Jul-01,23.03
23-Jul-01,23.38
24-Jul-01,23.03
25-Jul-01,23.03
26-Jul-01,24.44
27-Jul-01,23.93
30-Jul-01,24.39
31-Jul-01,23.78
1-Aug-01,22.83
2-Aug-01,22.1
3-Aug-01,21.83
6-Aug-01,22.66
7-Aug-01,23.25
8-Aug-01,23.22
9-Aug-01,24.18
10-Aug-01,23.91
13-Aug-01,24.65
14-Aug-01,24.43
15-Aug-01,24.6
16-Aug-01,25.26
17-Aug-01,25.48
20-Aug-01,26.82
21-Aug-01,27.2
22-Aug-01,27.27
23-Aug-01,27.53
24-Aug-01,26.75
27-Aug-01,27.52
28-Aug-01,27.37
29-Aug-01,27.28
30-Aug-01,26.74
31-Aug-01,27.48
3-Sep-01,27.27
4-Sep-01,27.35
5-Sep-01,27.35
6-Sep-01,27.58
7-Sep-01,28.58
10-Sep-01,30.11
11-Sep-01,29.76
12-Sep-01,36.33
13-Sep-01,38.68
14-Sep-01,37.23
17-Sep-01,41.98
18-Sep-01,41.18
19-Sep-01,40.41
20-Sep-01,43.77
21-Sep-01,42.4
24-Sep-01,42.34
25-Sep-01,40.51
26-Sep-01,38.92
27-Sep-01,37.57
28-Sep-01,35.99
8-Oct-01,37.7
9-Oct-01,34.97
10-Oct-01,34.8
11-Oct-01,33.08
12-Oct-01,33.82
15-Oct-01,35.2
16-Oct-01,34.2
17-Oct-01,33.08
18-Oct-01,34.13
19-Oct-01,32.99
22-Oct-01,33.98
23-Oct-01,31.38
24-Oct-01,31.4
25-Oct-01,31.4
26-Oct-01,31.39
29-Oct-01,34.19
30-Oct-01,34.82
31-Oct-01,34.73
1-Nov-01,33.59
2-Nov-01,32.22
5-Nov-01,31.53
6-Nov-01,31.37
7-Nov-01,31
8-Nov-01,29.14
9-Nov-01,27.86
12-Nov-01,28.21
13-Nov-01,28.12
14-Nov-01,26.4
15-Nov-01,25.85
16-Nov-01,25.83
19-Nov-01,25.76
20-Nov-01,25.12
21-Nov-01,24.32
22-Nov-01,23.27
23-Nov-01,21.78
26-Nov-01,22.95
27-Nov-01,23.72
28-Nov-01,24.54
29-Nov-01,25.17
30-Nov-01,24.52
3-Dec-01,26.29
4-Dec-01,25.2
5-Dec-01,24.65
6-Dec-01,25.67
7-Dec-01,24.19
10-Dec-01,24.38
11-Dec-01,24.33
12-Dec-01,23.09
13-Dec-01,24.59
14-Dec-01,24.73
17-Dec-01,24.88
18-Dec-01,24.5
19-Dec-01,23.63
20-Dec-01,23.44
21-Dec-01,26.86
24-Dec-01,26.11
25-Dec-01,26.11
26-Dec-01,26.11
27-Dec-01,25.38
28-Dec-01,25.45
31-Dec-01,26.54
4-Jan-02,24.61
7-Jan-02,23.83
8-Jan-02,24.15
9-Jan-02,24.67
10-Jan-02,24.61
11-Jan-02,24.51
14-Jan-02,24.57
15-Jan-02,24.42
16-Jan-02,23.57
17-Jan-02,22.9
18-Jan-02,22.24
21-Jan-02,22.27
22-Jan-02,22.43
23-Jan-02,20.93
24-Jan-02,20.2
25-Jan-02,20.15
28-Jan-02,21.55
29-Jan-02,22.24
30-Jan-02,23.69
31-Jan-02,23.9
1-Feb-02,22.87
4-Feb-02,22.71
