Date,Close
2008.01.15,4.07
2008.01.16,4.04
2008.01.17,3.88
2008.01.18,3.95
2008.01.21,3.95
2008.01.22,3.99
2008.01.23,4
2008.01.24,4.14
2008.01.25,4.28
2008.01.28,4.47
2008.01.29,4.79
2008.01.30,4.46
2008.01.31,4.2
2008.02.01,4.09
2008.02.04,4.27
2008.02.05,4.3
2008.02.06,4.4
2008.02.07,4.36
2008.02.08,4.51
2008.02.12,4.43
2008.02.13,4.39
2008.02.14,4.53
2008.02.15,4.42
2008.02.18,4.53
2008.02.19,4.46
2008.02.20,4.16
2008.02.21,4.38
2008.02.22,4.17
2008.02.25,4.36
2008.02.26,4.17
2008.02.27,4.14
2008.02.28,4.23
2008.02.29,4.48
2008.03.03,4.59
2008.03.04,4.45
2008.03.05,4.62
2008.03.06,4.75
2008.03.07,4.85
2008.03.10,4.48
2008.03.11,4.8
2008.03.12,4.44
2008.03.13,4.82
2008.03.14,4.7
2008.03.17,5.7
2008.03.18,6.1
2008.03.19,6.29
2008.03.21,6.31
2008.03.24,5.27
2008.03.25,5.06
2008.03.26,5.02
2008.03.27,4.86
2008.03.28,4.58
2008.03.31,4.75
2008.04.01,4.77
2008.04.02,4.86
2008.04.03,4.84
2008.04.04,4.85
2008.04.07,4.48
2008.04.08,4.66
2008.04.09,4.59
2008.04.10,4.78
2008.04.11,4.73
2008.04.14,4.99
2008.04.15,5.04
2008.04.16,4.85
2008.04.17,4.92
2008.04.18,5.08
2008.04.21,5.02
2008.04.22,5.33
2008.04.23,4.75
2008.04.24,4.93
2008.04.25,5.83
2008.04.28,5.39
2008.04.30,5.27
2008.05.01,5.49
2008.05.02,6.13
2008.05.07,5.86
2008.05.08,5.62
2008.05.09,5.66
2008.05.12,5.8
2008.05.13,5.92
2008.05.14,6.76
2008.05.15,6.53
2008.05.16,6.91
2008.05.19,6.9
2008.05.20,6.9
2008.05.21,6.33
2008.05.22,6.49
2008.05.23,6.49
2008.05.26,6.6
2008.05.27,6.72
2008.05.28,6.8
2008.05.29,6.69
2008.05.30,6.92
2008.06.02,7.18
2008.06.03,6.7
2008.06.04,6.5
2008.06.05,6.42
2008.06.06,6.65
2008.06.09,6.98
2008.06.10,7.7
2008.06.11,7.52
2008.06.12,7.3
2008.06.13,7.52
2008.06.16,7.66
2008.06.17,7.42
2008.06.18,6.97
2008.06.19,6.55
2008.06.20,6.47
2008.06.23,6.65
2008.06.24,6.16
2008.06.25,6.08
2008.06.26,5.61
2008.06.27,5.63
2008.06.30,5.57
2008.07.01,5.55
2008.07.02,6.18
2008.07.03,5.58
2008.07.04,5.48
2008.07.07,5.71
2008.07.08,5.92
2008.07.09,5.77
2008.07.10,5.71
2008.07.11,5.79
2008.07.14,5.75
2008.07.15,5.72
2008.07.16,5.43
2008.07.17,5.14
2008.07.18,4.84
2008.07.22,6.18
2008.07.23,6.29
2008.07.24,6.14
2008.07.25,5.51
2008.07.28,5.6
2008.07.29,5.63
2008.07.30,5.46
2008.07.31,5.13
2008.08.01,4.83
2008.08.04,4.97
2008.08.05,4.84
2008.08.06,4.83
2008.08.07,4.75
2008.08.08,4.87
2008.08.11,5.29
2008.08.12,5.11
2008.08.13,5.13
2008.08.14,5.03
2008.08.15,5.09
2008.08.18,5.36
2008.08.19,5.19
2008.08.20,5.06
2008.08.21,5.17
2008.08.22,5
2008.08.25,6.27
2008.08.26,4.98
2008.08.27,5.2
2008.08.28,5.34
2008.08.29,5.25
2008.09.01,4.94
2008.09.02,4.75
2008.09.03,4.73
2008.09.04,5.42
2008.09.05,5.75
2008.09.08,5.7
2008.09.09,5.57
2008.09.10,5.68
2008.09.11,5.5
2008.09.12,5.59
2008.09.16,8.32
2008.09.17,7.41
2008.09.18,8.33
2008.09.19,7.41
2008.09.22,7.94
2008.09.24,7.84
2008.09.25,8.41
2008.09.26,7.94
2008.09.29,8.5
2008.09.30,7.11
2008.10.01,7.53
2008.10.02,7.4
2008.10.03,7.35
2008.10.06,7.25
2008.10.07,7.49
2008.10.08,8.52
2008.10.09,8.61
2008.10.10,9.46
2008.10.14,10.31
2008.10.15,10.37
2008.10.16,10.11
2008.10.17,8.89
2008.10.20,9.3
2008.10.21,8.07
2008.10.22,8.37
2008.10.23,7.75
2008.10.24,8.48
2008.10.27,10.09
2008.10.28,10.03
2008.10.29,8.19
2008.10.30,8.29
2008.10.31,8.1
2008.11.04,7.5
2008.11.05,6.78
2008.11.06,6.65
2008.11.07,6.67
2008.11.10,6.42
